taxonid,topt,hidden,name,fname,assembly,phylum,subdivision,class,order,family,genus
797210,37.0,0,Halopiger xanaduensis SH-6,Halopiger_xanaduensis,GCA_000217715.1_ASM21771v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Halopiger
376171,40.0,0,Haloplanus natans,Haloplanus_natans,GCA_000427685.1_ASM42768v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Haloplanus
362976,37.0,0,Haloquadratum walsbyi DSM 16790,Haloquadratum_walsbyi,GCA_000009185.1_ASM918v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Haloquadratum
430914,45.0,0,Halorhabdus tiamatea,Halorhabdus_tiamatea,GCA_000215915.3_HLRTI_V2,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Halorhabdus
519442,50.0,0,Halorhabdus utahensis DSM 12940,Halorhabdus_utahensis,GCA_000023945.1_ASM2394v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Halorhabdus
416348,34.0,0,Halorubrum lacusprofundi ATCC 49239,Halorubrum_lacusprofundi,GCA_000022205.1_ASM2220v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Halorubrum
416585,37.0,0,Halorubrum californiense,Halorubrum_californiense,GCA_000336875.1_ASM33687v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Halorubrum
64713,37.0,0,Halorubrum coriense,Halorubrum_coriense,GCA_000337035.1_ASM33703v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Halorubrum
413816,37.0,0,Halorubrum halophilum,Halorubrum_halophilum,GCA_000739595.1_ASM73959v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Halorubrum
1227480,37.0,0,Halorubrum hochstenium,Halorubrum_hochstenium,GCA_000337075.1_ASM33707v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Halorubrum
